census_tract,total_pop,county,zip,approximate_location,longitude,latitude,ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,children_10_years_percent,pop_10_64_years_percent,elderly_64_years_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent,disadv_designation,avg_maternal_age
6037572500,3643,Los Angeles,90810,Long Beach,-118.2182796,33.8165383,59.3674709274141,95.2723146747352,95-100% (highest scores),0.03975537,11.78613452,0.186164888,339.0441176,61.9021677,7.742011942,14517.9764,502.2970184,3.2,4,0.99,21,1.5,54.8528021293233,6.69751624461421,79.55,8.02,21.11,26.5,12.6,53,10.4,25.8,85.4515444708858,8.86410256565697,11.78,68.05,20.18,40.96,9.39,20.56,0,21.27,7.82,1,32
6037543201,3605,Los Angeles,90220,Compton,-118.2347142,33.8849107,59.3295121101972,95.2597075138679,95-100% (highest scores),0.04259906,12.18773918,0.223358293,459.7365647,87.0756412,0.976703725,17476.79679,621.3854999,4.5,3,0.66,7,1,58.3195258448753,7.12080252169004,122.52,6.77,19.17,30.8,5.1,40.2,8,30.9,80.3206065113535,8.33185753002964,18.06,71.9,10.04,60.61,3.19,34.45,0.19,1.03,0.53,1,30.068181818181817
6037191810,3367,Los Angeles,90038,Los Angeles,-118.3277122,34.088924,59.3266953088378,95.2471003530005,95-100% (highest scores),0.04939042,11.90037867,0.365629977,787.9403354,75.88796161,0,1477.033,906.8688774,20.5,31.5,0.44,0,3,62.6384867665418,7.64814679235314,58.73,4.98,15.62,32.6,24.8,63.8,6.9,35,74.7789024511598,7.75700269876546,9.56,83.9,6.53,67.69,22.45,6.24,0,1.19,2.44,1,33.86046511627907
6037119001,4435,Los Angeles,91331,Los Angeles,-118.4203143,34.2351095,59.3072659396778,95.2344931921331,95-100% (highest scores),0.06591477,11.410504,0.26247261,726.638249,86.11803916,0,689.2633413,3020.620667,36,16,0.31,4,2.9,67.0827083466883,8.19078536453621,81.71,7.65,13.36,35.6,9.1,22.4,5.5,21.1,69.801941432447,7.24073007656402,10.62,76.14,13.24,71.25,13.03,0.32,0.56,13.51,1.33,1,30.043478260869566
6037124204,2192,Los Angeles,91601,Los Angeles,-118.3746553,34.1739725,59.2982592740349,95.2218860312658,95-100% (highest scores),0.05938691,11.55022293,0.290017648,726.638249,63.43884663,0,1078.439005,1005.527223,36.6,15,0.205,0,2,57.2511187329961,6.9903502255466,62.98,8.12,15.03,29.7,13.1,50.6,12.1,39,81.7764312199682,8.48287387051457,6.8,83.21,9.99,55.47,30.25,3.19,0,5.11,5.98,1,37
6107002901,4202,Tulare,93274,Tulare,-119.3370033,36.196369,59.1856703474065,95.2092788703984,95-100% (highest scores),0.06236471,14.51085213,0.402235357,689.4961705,66.20670073,26.6264971,253.295301,706.1569411,4,18.1,1.235,0,1,62.3004609042016,7.60687390170326,71.67,4.56,21.73,37.2,26.8,52.2,9.9,16,75.0059123201592,7.78055100060936,21.32,71.92,6.76,87.08,9.5,3.43,0,0,0,1,28.69811320754717
6037541200,6546,Los Angeles,90222,Compton,-118.2543733,33.9083355,59.1444648301078,95.196671709531,95-100% (highest scores),0.04259906,12.13075961,0.194037868,513.5554306,85.60084737,0,27315.99251,813.4571412,18.6,54,3.83,7,5,67.188366570887,8.20368621272405,120.27,7.88,22.28,19.2,2.5,23.1,3,24.1,69.500865039505,7.20949866882692,13.47,71.1,15.43,48.03,1.01,47.13,0,0.75,3.09,1,NA
6029002600,3477,Kern,93307,Bakersfield,-119.0117159,35.3457339,59.1426167317923,95.1840645486636,95-100% (highest scores),0.06464682,15.98404739,0.087373919,625.1204784,89.36562497,0,34.22219977,777.9044462,32.4,15.5,0.535,0,2,55.8529671117283,6.81963619030374,94.79,6.62,19.3,32.2,9.2,58.6,14.1,22.4,83.603502648303,8.67240056234703,15.59,74.95,9.46,70.41,12.37,14.04,1.18,1.21,0.81,1,28.575342465753426
6037541500,6273,Los Angeles,90222,Willowbrook,-118.2270116,33.9148293,59.1168560218632,95.1462430660615,95-100% (highest scores),0.04320513,12.09745122,0.468756384,419.1088441,86.60878297,0,14199.49308,556.4841112,40.9,18.75,16.395,0,1.1,59.0763390860896,7.213209268117,131.07,4.59,22.67,46.5,12.8,57.5,5.6,33,79.0074311214415,8.19563856037905,21.01,74.84,4.14,82.75,0.41,16.72,0,0,0.11,1,NA
6037402804,4238,Los Angeles,91766,Pomona,-117.7322415,34.0483608,59.0878669605605,95.1336359051942,95-100% (highest scores),0.05763123,12.71142454,0.111654745,838.4745178,69.44688505,5.77984e-4,827.3076682,298.4973045,30,3,0.355,1,9.25,56.0790757771911,6.84724401344493,74.43,6.64,17.38,48.6,26.6,54,8.4,21.8,83.1893347932659,8.62943789421529,12.88,80.32,6.8,82.33,2.12,3.66,0,11.12,0.78,1,36.80769230769231
